Categorie;Article;Quantite;Prix_Unitaire_EUR;Prix_Total_EUR;Notes;URL
Power;12V 600W Switching Power Supply;1;35.99;35.99;Alimentation principale;https://fr.aliexpress.com/item/1005002843829663.html
Power;M6 Battery Bus Bar Power Distribution Block;2;6.50;13.00;Rouge + Noir;https://fr.aliexpress.com/item/1005012578071997.html
Lighting;Profilé aluminium LED 0.5 m;20;2.55;51.00;20 × 0.5 m (10 m total);https://fr.aliexpress.com/item/1005002322065611.html
Lighting;WS2812B Addressable RGB LED Strip 2 m;5;16.56;82.81;5 × 2 m (10 m total);https://fr.aliexpress.com/item/1005007989431712.html
Prototype;Fil électrique;1;0.00;0.00;At home;
Controls;ESP-WROOM-32;1;0.00;0.00;At home;
TOTAL;;;;182.80;;
